No.,universiteler,2011_onerilen,2011_desteklenen,2011_aktarilan,2012_onerilen,2012_desteklenen,2012_aktarilan,2013_onerilen,2013_desteklenen,2013_aktarilan,2014_onerilen,2014_desteklenen,2014_aktarilan,2015_onerilen,2015_desteklenen,2015_aktarilan,,,,,
1,ABANT İZZET BAYSAL Ü.,27,4,1792547,55,9,1488333,59,10,1949690,73,17,2011887,69,8,1666419,,,,,
2,ABDULLAH GÜL Ü.,0,1,30098,2,0,9404,17,5,595653,29,6,1013817,41,7,2142355,,,,,
3,ACIBADEM Ü.,7,0,125716,16,3,194699,27,3,740398,33,5,538711,20,9,1927654,,,,,
4,ADANA BİLİM VE TEKNOLOJİ Ü.,0,0,0,0,0,0,13,1,37291,27,3,100013,21,7,76471,,,,,
5,ADIYAMAN Ü.,6,0,0,4,2,163308,9,2,568988,17,0,68294,23,3,488761,,,,,
6,ADNAN MENDERES Ü.,75,15,1969858,68,11,2937185,53,12,3030745,89,23,3428887,105,11,3018425,,,,,
7,AFYON KOCATEPE Ü.,37,8,1299885,46,2,968787,50,15,2518061,59,9,1721960,68,7,1526310,,,,,
8,AĞRI İBRAHİM ÇEÇEN Ü.,2,0,0,2,1,146811,4,1,117214,6,1,51163,5,0,54131,,,,,
9,AHİ EVRAN Ü.,5,4,671367,11,1,296822,11,1,402235,23,7,819478,27,3,285507,,,,,
10,AKDENİZ Ü.,103,39,6871233,129,27,5622064,142,40,6322918,213,55,6708740,222,57,9762105,,,,,
11,AKSARAY Ü.,23,5,82287,19,5,656429,23,4,503485,37,7,727402,42,2,550014,,,,,
12,ALANYA ALAADDİN KEYKUBAT Ü.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
13,ALANYA HAMDULLAH EMİN PAŞA Ü.,0,0,0,0,0,0,0,0,0,1,0,0,2,1,30924,,,,,
14,AMASYA Ü.,2,0,0,3,0,0,8,2,15198,3,1,114116,4,0,29863,,,,,
15,ANADOLU Ü.,49,10,2486154,47,11,2049998,79,20,3329597,82,17,2657869,140,19,2644670,,,,,
16,ANKARA SOSYAL BİLİMLER Ü.,0,0,0,0,0,0,0,0,0,1,0,0,2,2,71963,,,,,
17,ANKARA Ü.,196,64,13165836,218,38,11239019,226,57,10796670,308,77,12732813,335,86,14874640,,,,,
18,ARDAHAN Ü.,5,0,20587,3,1,2519,6,2,73759,4,1,55963,9,1,114324,,,,,
19,ARTVİN ÇORUH Ü.,3,0,24978,6,0,0,5,1,245502,12,3,326521,7,1,321833,,,,,
20,ATATÜRK Ü.,91,10,3195286,109,15,2841714,106,24,6812625,194,36,5539787,282,40,7138619,,,,,
21,ATILIM Ü.,16,3,598258,27,6,1143483,28,6,2248631,31,6,596191,39,7,2213955,,,,,
22,AVRASYA Ü.,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,,
23,BAHÇEŞEHİR Ü.,15,10,881901,24,5,1059370,61,7,1496868,48,9,788292,81,5,1830002,,,,,
24,BALIKESİR Ü.,26,6,992171,31,3,675219,48,11,1173238,59,10,985933,56,4,960194,,,,,
25,BANDIRMA ONYEDİ EYLÜL Ü.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
26,BARTIN Ü.,10,2,147881,10,0,0,17,7,733907,18,2,460392,33,2,392133,,,,,
27,BAŞKENT Ü.,14,7,705308,10,2,385239,30,2,211586,22,3,421767,32,3,683024,,,,,
28,BATMAN Ü.,3,1,34311,1,0,0,9,1,29992,14,0,0,9,1,203114,,,,,
29,BAYBURT Ü.,1,0,0,4,0,0,11,0,0,6,3,274301,9,0,63317,,,,,
30,BEYKENT Ü.,5,0,0,5,0,0,8,0,0,3,2,85163,4,0,234199,,,,,
31,BEZMİALEM VAKIF Ü.,9,0,0,8,1,190133,28,1,315013,22,10,1649741,51,3,1010609,,,,,
32,BİLECİK ŞEYH EDEBALİ Ü.,6,3,421244,13,0,114223,10,3,120175,23,3,182157,30,2,402184,,,,,
33,BİNGÖL Ü.,2,0,73426,14,0,32711,12,0,0,22,1,64981,21,6,208338,,,,,
34,BİRUNİ Ü,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,,,,,
35,BİTLİS EREN Ü.,10,1,183908,6,1,258874,11,1,191561,18,1,11963,10,0,84692,,,,,
36,BOĞAZİÇİ Ü.,92,27,6865725,88,39,7845623,116,41,10402533,103,39,9064251,139,35,9653586,,,,,
37,BOZOK Ü.,8,0,165937,9,1,125051,12,4,616197,18,3,61729,26,2,45895,,,,,
38,BURSA ORHANGAZİ Ü.,0,0,0,1,0,0,1,1,78542,5,0,21441,10,1,102005,,,,,
39,BURSA TEKNİK Ü.,3,0,0,11,1,24292,23,4,879113,31,5,1015768,46,10,1370778,,,,,
40,BÜLENT ECEVİT Ü.,17,3,67595,33,13,1125331,31,5,90416,31,8,1261023,38,7,702509,,,,,
41,CANİK BAŞARI Ü.,0,0,0,5,0,0,3,0,0,7,1,34269,11,0,0,,,,,
42,CELAL BAYAR Ü.,39,7,976422,26,5,1186563,51,11,1163694,64,11,1565709,72,7,1305461,,,,,
43,CUMHURİYET Ü.,7,2,852612,32,4,1295305,63,11,1277458,57,7,1259452,64,11,4136929,,,,,
44,ÇAĞ Ü,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
45,ÇANAKKALE ONSEKİZ MART Ü.,73,17,3658379,104,28,3967025,114,30,4285564,142,36,3994356,149,30,4914698,,,,,
46,ÇANKAYA Ü.,5,2,27854,5,2,429134,16,3,769063,23,6,1071242,17,2,518035,,,,,
47,ÇANKIRI KARATEKİN Ü.,17,3,553651,25,4,555757,26,11,2044299,41,5,862288,69,14,1858097,,,,,
48,ÇUKUROVA Ü.,83,18,4164627,98,21,3710792,119,23,5179718,128,36,6310007,120,19,6065898,,,,,
49,DİCLE Ü.,28,6,1119628,29,1,673979,35,6,746132,75,4,632066,68,14,1993349,,,,,
50,DOĞU AKDENİZ Ü,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,
51,DOĞUŞ Ü.,12,1,137622,12,4,0,6,2,376102,3,0,116437,7,1,209024,,,,,
52,DOKUZ EYLÜL Ü.,137,32,7257603,135,22,5804772,158,37,8197960,179,43,7439776,322,47,8544437,,,215809,,
53,DUMLUPINAR Ü.,20,3,709005,18,1,266332,52,6,1087049,52,9,1278321,46,6,1254591,,,,,
54,DÜZCE Ü.,28,6,874754,20,4,92708,26,5,1586714,44,15,1795031,54,5,1752912,,,,,
55,EGE Ü.,247,61,13010376,279,55,11855788,298,78,13820993,374,89,16085685,423,85,18917611,,,,,
56,ERCİYES Ü.,91,8,3592076,119,22,3250419,166,33,6221062,237,52,8125429,340,61,8971774,,,,,
57,ERZİNCAN Ü.,4,0,0,17,1,105316,20,1,189909,14,2,238905,32,0,6785,,,,,
58,ERZURUM TEKNİK Ü.,0,0,0,3,0,0,4,0,0,11,3,361831,10,1,342087,,,,,
59,ESKİŞEHİR OSMANGAZİ Ü.,44,6,935767,36,12,1775804,45,10,1887689,71,14,1411822,98,17,2842040,,,,,
60,FATİH SULTAN MEHMET VAKIF Ü.,0,0,0,7,0,0,3,1,186196,2,0,38803,8,0,3037,,,,,
61,FATİH Ü.,31,10,2170731,57,9,2799913,58,9,2155943,43,12,2689895,54,4,1631071,,,,,
62,FIRAT Ü.,47,17,2468689,70,5,2039296,115,18,4044417,153,18,2240927,133,18,2715708,,,,,
63,GALATASARAY Ü.,2,1,349273,5,0,246,6,3,317549,5,1,206596,16,4,35181,,,,,
64,GATA,7,5,538033,17,3,271195,31,6,831349,33,12,97941,34,6,1571565,,,,,
65,GAZİ Ü.,129,25,4568855,148,25,4603237,185,45,5944121,233,62,8319702,261,57,10701022,,,,,
66,GAZİANTEP Ü.,29,4,795695,44,8,1384905,65,13,2746266,74,14,1725021,135,13,2847135,,,,,
67,GAZİOSMANPAŞA Ü.,31,6,1237916,38,11,1470065,42,10,2037943,55,19,2526311,62,9,2260387,,,,,
68,GEBZE TEKNİK Ü.,63,22,4584917,82,24,5143275,93,27,5655551,135,35,7393619,155,38,6567342,,,,,
69,GEDİK Ü.,0,0,0,2,0,0,7,0,0,4,2,0,1,0,55656,,,,,
70,GEDİZ Ü.,8,3,312945,7,1,329243,17,1,373397,18,4,487974,21,1,173676,,,,,
71,GİRESUN Ü.,10,0,0,8,1,54246,9,1,37291,8,3,179664,44,5,549232,,,,,
72,GÜMÜŞHANE Ü.,12,1,18235,13,1,81076,17,4,534614,24,5,445237,29,5,793876,,,,,
73,HACETTEPE Ü.,196,60,8749514,216,48,7548577,237,74,15435013,264,71,13008927,353,89,20300515,,,,,
74,HAKKARİ Ü.,0,0,0,1,0,0,0,0,0,8,1,34033,5,0,0,,,,,
75,HALİÇ,1,0,0,0,0,0,1,0,0,4,1,0,2,1,0,,,,,0
76,HARRAN Ü.,39,14,1544755,32,6,1247268,42,11,1885385,43,6,888043,42,6,1045704,,,,,
77,HASAN KALYONCU Ü.,4,0,0,0,0,0,1,0,0,8,0,11435,21,1,29052,,,,,
78,HİTİT Ü.,18,5,303207,10,0,59561,20,1,91923,15,5,410599,15,1,316222,,,,,
79,IĞDIR Ü.,4,1,265294,4,0,96225,8,0,20013,3,1,34601,2,1,3228,,,,,
80,IŞIK Ü.,9,5,390705,9,2,315393,9,1,253526,6,3,285742,11,1,287056,,,,,
81,BİLKENT Ü.,81,44,30116259,103,48,16561198,131,44,30316792,142,59,14188267,200,80,30128089,,,,,
82,İNÖNÜ Ü.,54,12,1643120,48,8,1358033,75,12,2344445,119,34,3737960,141,33,4010080,,,,,
83,İPEK Ü.,0,0,0,1,0,0,9,1,79291,6,2,138129,4,0,0,,,,,
84,İSKENDERUN TEKNİK Ü.,0,0,0,0,0,0,0,0,0,0,0,0,8,3,342214,,,,,
85,İSTANBUL 29 MAYIS Ü.,0,0,0,0,0,0,0,0,0,1,1,0,0,0,81114,,,,,
86,İSTANBUL AREL Ü.,3,1,0,0,0,38861,10,2,0,21,2,51146,22,4,716797,,,,,
87,İSTANBUL AYDIN Ü.,3,0,0,4,1,0,6,2,166817,15,1,311711,22,3,1634482,,,,,
88,İSTANBUL BİLGİ Ü.,16,3,383369,16,2,343517,24,5,1543450,24,5,781668,27,4,592022,,,,,
89,İSTANBUL BİLİM Ü.,2,0,0,0,1,145837,2,0,39902,12,3,120308,7,0,85494,,,,,
90,İSTANBUL ESENYURT Ü.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
91,İSTANBUL GELİŞİM Ü,0,0,0,3,0,0,2,0,0,2,0,0,3,1,0,,,,,
92,İSTANBUL KEMERBURGAZ Ü.,5,1,27298,8,0,2869,14,3,234118,24,8,1029254,30,1,884963,,,,,
93,İSTANBUL KÜLTÜR Ü.,5,1,7228,19,1,143111,18,3,387485,14,7,871943,22,4,1115022,,,,,
94,İSTANBUL MEDENİYET Ü.,0,0,0,10,2,360982,31,6,88863,31,7,1462378,28,3,833248,,,,,
95,İSTANBUL MEDİPOL Ü.,1,0,0,0,0,184,14,1,248609,39,7,2197173,107,24,3410781,,,,,
96,İSTANBUL SABAHATTİN ZAİM Ü.,0,0,0,0,0,0,5,0,0,10,0,0,24,3,258618,,,,,
97,İSTANBUL ŞEHİR Ü.,7,2,39456,8,2,357135,26,8,918744,16,8,743685,16,3,712714,,,,,
98,İTÜ,177,52,15882063,196,44,11498845,299,79,19054637,360,95,22277208,414,112,25119715,,,,,
99,İSTANBUL TİCARET Ü.,0,0,0,0,0,0,6,0,0,11,2,0,9,0,221118,,,,,
100,İSTANBUL Ü.,114,29,7310570,168,20,5590399,207,40,7300222,281,56,9102463,412,72,10181400,,,,,
101,İSTANBUL YENİ YÜZYIL Ü.,1,0,0,3,0,0,3,0,0,1,0,0,4,1,26631,,,,,
102,İZMİR EKONOMİ Ü.,12,5,352005,10,3,314563,7,1,272481,24,4,379498,24,7,844611,,,,,
103,İZMİR KATİP ÇELEBİ Ü.,0,0,141444,25,0,106924,42,6,79915,62,23,2294560,67,9,2113519,,,,,
104,İZMİR Ü.,3,3,131302,1,0,43283,10,1,143783,12,1,98447,15,1,50591,,,,,
105,İYTE,65,25,4820662,72,14,5261018,89,27,6008842,92,34,8368729,133,29,8827730,,,,,
106,KADİR HAS Ü.,7,1,215858,10,3,261888,19,5,653936,13,5,789228,22,3,572533,,,,,
107,KAFKAS Ü.,14,2,251886,12,3,508889,19,1,30073,25,6,516274,36,3,285528,,,,,
108,KAHRAMANMARAŞ SÜTÇÜ İMAM Ü.,31,11,2029346,55,10,2552002,76,17,3401095,58,14,2884851,77,7,2766019,,,,,
109,KANUNİ Ü,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
110,KARABÜK Ü.,15,2,206266,28,3,218073,32,3,1013977,47,10,543671,36,4,966178,,,,,
111,KARADENİZ TEKNİK Ü.,80,16,3596319,77,16,3365140,159,32,5319145,192,57,6665462,225,43,7047334,,,,,
112,KARAMANOĞLU MEHMETBEY Ü.,14,5,900122,18,4,999189,24,6,1461230,17,7,1866054,27,4,930622,,,,,
113,KASTAMONU Ü.,2,1,195443,13,0,47997,18,1,334379,37,7,567966,24,3,679804,,,,,
114,KIRIKKALE Ü.,20,8,921914,28,6,622515,30,4,723582,55,10,821258,65,12,1894825,,,,,
115,KIRKLARELİ Ü.,4,0,0,1,1,0,6,2,456663,9,2,40474,15,1,6259,,,,,
116,KİLİS 7 ARALIK Ü.,8,0,0,5,1,34074,10,0,0,6,2,118641,16,2,59431,,,,,
117,KOCAELİ Ü.,60,16,2335153,72,13,2580913,114,18,2746118,108,28,3866950,144,17,3409415,,,,,
118,KOÇ Ü.,91,30,5830935,86,34,6124096,92,51,10487446,82,37,9907891,141,44,11730039,,,,,
119,KONYA GIDA VE TARIM Ü.,0,0,0,0,0,0,0,0,0,0,0,0,4,2,300096,,,,,
120,KONYA NECMETTİN ERBAKAN Ü.,0,0,0,11,1,291553,33,2,197669,37,12,1128842,41,7,892113,,,,,
121,KTO KARATAY Ü.,3,0,0,1,0,0,8,0,0,3,1,112446,8,0,110474,,,,,
122,LEFKE AVRUPA Ü.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
123,MALTEPE Ü.,3,0,119581,5,1,251779,6,2,273769,8,2,1186956,8,3,516848,,,,,
124,MARDİN ARTUKLU Ü.,0,0,0,0,0,2453,2,0,0,5,2,124914,1,0,18085,,,,,
125,MARMARA Ü.,81,15,3309168,77,12,2710754,87,16,2564932,95,18,2769186,133,32,4454425,,,,,
126,MEF Ü.,0,0,0,0,0,0,0,0,0,3,0,0,10,2,101747,,,,,
127,MEHMET AKİF ERSOY Ü.,22,1,104156,41,3,25744,59,16,1778919,43,6,1078638,43,5,1630315,,,,,
128,MELİKŞAH Ü.,4,2,521552,16,1,331471,14,3,661853,24,2,260378,15,1,277342,,,,,
129,MERSİN Ü.,40,8,2003974,39,5,1218583,67,10,1257975,59,15,2042589,122,19,2192590,,,,,
130,MEVLANA Ü.,0,0,0,7,1,19613,14,1,17921,21,6,565089,17,4,344546,,,,,
131,MİMAR SİNAN GÜZEL SANATLAR Ü.,6,3,30317,7,0,136945,7,4,388315,7,4,646259,8,2,673506,,,,,
132,MUĞLA SITKI KOÇMAN Ü.,55,6,1523742,75,6,1132633,57,12,1036134,72,17,2189689,86,12,2000099,,,,,
133,MUSTAFA KEMAL Ü.,51,13,1335069,67,10,1307707,65,17,2474246,78,12,2370739,83,9,2894239,,,,,
134,MUŞ ALPARSLAN Ü.,2,1,34311,2,0,3203,1,0,0,3,0,0,2,0,0,,,,,
135,NAMIK KEMAL Ü.,38,4,848476,34,12,1612044,41,10,1439479,67,12,1634872,65,9,1734982,,,,,
136,NEVŞEHİR HACI BEKTAŞ VELİ Ü.,11,0,236815,9,4,627689,13,0,189517,10,1,196367,8,2,224164,,,,,
137,NİĞDE Ü.,34,6,1071608,38,6,1034504,50,8,991347,56,13,1730875,74,13,2525663,,,,,
138,NİŞANTAŞI Ü,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,,,,,
139,NUH NACİ YAZGAN Ü.,0,0,0,7,0,0,4,0,0,5,2,108359,4,0,0,,,,,
140,OKAN Ü.,4,0,0,13,0,0,14,2,129768,11,1,122471,18,3,315104,,,,,
141,ONDOKUZ MAYIS Ü.,58,10,1258594,79,10,2116571,94,15,2189090,204,33,3200667,196,39,5240223,,,,,
142,ORDU Ü.,10,3,228782,17,4,399255,11,1,33436,35,7,60962,55,2,249296,,,,,
143,ODTÜ,181,73,20880942,166,64,21997350,213,77,20066619,238,91,31815687,300,71,27673890,,,,,
144,OSMANİYE KORKUT ATA Ü.,8,4,475434,14,2,273647,7,4,42996,15,2,367032,31,4,469189,,,,,
145,ÖZYEĞİN Ü.,10,3,1359950,24,5,974057,41,9,1237413,66,19,3175746,59,13,2567638,,,,,
146,PAMUKKALE Ü.,66,15,2093240,57,10,1837095,84,11,1906760,80,24,2486804,94,15,2562455,,,,,
147,PİRİ REİS Ü.,0,0,0,0,1,114422,4,0,33109,4,1,204654,4,0,0,,,,,
148,RECEP TAYYİP ERDOĞAN Ü.,16,3,634897,43,5,583169,50,11,1581351,62,7,1548467,82,14,2327561,,,,,
149,SABANCI Ü.,65,31,7733681,89,28,9177826,92,48,10123222,101,45,15693814,123,42,14659399,,,,,
150,SAKARYA Ü.,32,3,1199318,58,3,719429,65,6,707183,78,8,1126597,218,24,3191363,,,,,
151,SANKO Ü.,0,0,0,0,0,0,0,0,0,1,0,0,5,1,56778,,,,,
152,SELAHADDİN EYYUBİ Ü,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,,,
153,SELÇUK Ü.,128,28,5104137,116,22,4653894,167,30,5414129,173,32,4863962,182,39,6873824,,,,,
154,SİİRT Ü.,3,0,0,3,1,15267,6,0,138047,18,1,134123,23,3,467956,,,,,
155,SİNOP Ü.,7,1,194482,8,1,73,10,2,80175,23,5,275012,25,5,352113,,,,,
156,SÜLEYMAN DEMİREL Ü.,252,38,5283591,252,25,5565660,223,44,6467156,275,54,7309810,269,47,7600151,,,,,
157,SÜLEYMAN ŞAH Ü.,0,0,0,1,0,0,1,1,135229,0,0,0,1,0,55037,,,,,
158,ŞIRNAK Ü.,0,0,0,0,0,0,0,0,0,9,0,0,13,2,3225,,,,,
159,ŞİFA Ü.,0,0,0,3,0,0,5,1,0,10,3,9189,11,3,398698,,,,,
160,TED Ü.,0,0,64985,7,0,64059,9,5,605935,13,3,40059,17,3,198599,,,,,
161,TOBB EKONOMİ VE TEKNOLOJİ Ü.,56,11,1726665,46,14,2532776,44,12,3662087,50,14,2887603,77,19,4997180,,,,,
162,TOROS Ü.,2,0,0,2,0,0,3,0,0,0,1,165867,1,0,62269,,,,,
163,TRAKYA Ü.,22,3,68261,20,5,980076,20,7,1239180,32,7,533834,44,11,2215284,,,,,
164,TUNCELİ Ü.,12,0,96538,13,3,491566,20,2,386171,14,5,840019,15,5,1436370,,,,,
165,TURGUT ÖZAL Ü.,4,0,0,14,1,34074,50,6,1750341,65,21,2245610,62,9,3367860,,,,,
166,TÜRK HAVA KURUMU Ü.,5,1,9264,15,2,392871,7,3,487673,5,0,246297,18,0,5578,,,,,
167,TÜRK-ALMAN Ü.,0,0,0,0,0,0,1,0,41849,0,0,0,4,0,0,,,,,
168,UFUK Ü.,4,2,96826,2,1,127614,3,0,49436,5,2,170983,4,1,176571,,,,,
169,ULUDAĞ Ü.,75,22,4219120,70,11,3199186,89,18,3494262,104,27,3339198,127,24,4081039,,,,,
170,ULUSLARARASI ANTALYA Ü.,0,0,0,5,2,347538,14,8,1669323,8,5,901959,18,4,821803,,,,,
171,ULUSLARARASI KIBRIS Ü.,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,
172,UŞAK Ü.,3,2,164094,6,1,200636,20,1,28069,33,4,607159,48,5,351485,,,,,
173,ÜSKÜDAR Ü.,0,0,0,4,0,0,20,1,14305,10,2,339479,29,1,25902,,,,,
174,YAKIN DOĞU Ü,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
175,YALOVA Ü.,15,1,34311,17,2,131681,13,3,244551,20,5,724532,30,6,707108,,,,,
176,YAŞAR Ü.,14,2,224837,5,1,176513,13,2,464589,11,4,359992,20,4,329011,,,,,
177,YEDİTEPE Ü.,43,13,1798782,53,11,1887869,51,9,2057492,70,23,2943370,73,11,3439164,,,,,
178,YILDIRIM BEYAZIT Ü.,3,1,182398,21,1,203218,30,6,898254,30,8,1341107,53,9,1838151,,,,,
179,YILDIZ TEKNİK Ü.,135,20,4298286,133,23,5909212,166,25,6241188,185,32,5778893,229,36,5982764,,,,,
180,YÜZÜNCÜ YIL Ü.,19,4,299852,21,5,498367,43,6,608226,66,16,1630591,85,17,2889932,,,,,
181,ZİRVE Ü.,12,3,280338,11,4,514862,32,3,614901,22,11,1453414,30,3,833716,,,,,
